OBJECTID,COUNTY,CITY,Shape__Area,Shape__Length,GlobalID
68,Riverside,Cathedral City,85685092.9335938,72484.3277856403,8fbfe59f-3fd3-4781-bc96-65722c530181
69,Stanislaus,Ceres,39070074.109375,50115.3067791011,70de1841-e633-417e-a002-e2cdfcc7f4b2
70,Los Angeles,Cerritos,33280830.8828125,44159.8808403631,865ccce4-120a-41bf-84c1-bfd29b2cc837
71,Butte,Chico,150665486.738281,133508.407352818,5cf1663f-0a95-414f-9748-4c40491ef5bc
72,San Bernardino,Chino,112329838.292969,76113.5247241607,9d9e5c6b-1ae6-4420-9b08-e80745038ca6
73,San Bernardino,Chino Hills,169201220.730469,64200.6791684471,5cadc250-9b91-4f00-926f-b28fda8834a2
74,Madera,Chowchilla,47512774.2304688,54494.8764883057,cb8e37d6-82f2-4d02-880e-2deeb865b903
75,San Diego,Chula Vista,190896872.820313,117806.854388038,023d1032-1b36-4cf5-8758-5f9130ebac61
76,Sacramento,Citrus Heights,60529480.2617188,37762.3354788659,b79255dc-3963-433e-8e39-aa88db7ba337
77,Los Angeles,Claremont,51009193.2226563,55362.5310834762,16410087-eeee-4dcb-8d43-a6467f20dd18
78,Contra Costa,Clayton,15979272.9726563,22349.1629055951,b7f2675d-373a-4b34-af84-b10369054fba
79,Lake,Clearlake,45141923.8789063,59497.0070527463,efa9afc2-6f4c-4f71-811e-1f52ab8d4588
80,Sonoma,Cloverdale,13503600.1523438,32391.9174313441,2b6a2347-ed3f-4362-b790-8b7089f33761
81,Fresno,Clovis,105253884.558594,97663.5920843977,7fe534b0-8a06-4965-89b6-a244f1a5697f
82,Riverside,Coachella,116022122.140625,74723.4726990298,209534f3-1a20-49f5-83f6-92a10b358a02
83,Fresno,Coalinga,26811703.5507813,59004.0782620929,72d7e3bd-16fa-493b-9907-262193259ac1
84,Placer,Colfax,6075099.9609375,26705.3222767442,39d8b993-0031-436d-8bae-b3f9fb0d16b3
85,San Mateo,Colma,7919731.93359375,14677.5574087004,b8898e06-fbe3-4414-805b-a19685b1b47a
86,San Bernardino,Colton,61239993.6367188,87245.8790894998,289bb1cd-f50a-43ce-9fab-3d49139c2fe4
87,Colusa,Colusa,18267046.03125,51340.7961007565,b8cb6085-8438-4866-9433-acf12f10f304
88,Los Angeles,Commerce,24772005.2695313,34419.7069995715,68975d0f-8ff4-4b4e-9535-3a54ca4ec7ed
89,Los Angeles,Compton,38044748.484375,65518.6681167707,d45c30cd-6f0e-400c-b6a7-06af1a2a0566
90,Contra Costa,Concord,127513459.925781,73130.13750995,bad32c1e-4785-4294-98a6-b4f78931887d
91,Kings,Corcoran,29858425,53934.7707754362,5e830bb0-2692-46b2-84dc-22b2f17dfdf9
92,Tehama,Corning,16019825.7421875,43990.3019648362,33990b3b-32b3-43ac-bce9-7418d9993f4c
93,Riverside,Corona,150160692.253906,132639.418052237,d6a88959-43a9-4ff4-9920-82bd4940de0c
94,San Diego,Coronado,54369000.3710938,51643.9853782573,2eb073ea-82ca-44a7-80a6-239ca0ad651b
95,Marin,Corte Madera,13346677.984375,23945.6142369979,4d43e576-541e-4e14-be42-9290e4f11331
96,Orange,Costa Mesa,59407007.5585938,42864.6388678365,fac1c6ae-444d-4765-bcb8-709784ffbe2a
97,Sonoma,Cotati,8054478.47265625,22654.0211633402,5b9e4bdf-d272-49eb-9914-b0362e024d7e
98,Los Angeles,Covina,26633974.5429688,68641.7573279985,98b00a9c-0fdb-4a1c-9eb0-d4e00d3fdd8c
99,Del Norte,Crescent City,9047176.8046875,27369.6547145774,0b985ba9-d50b-4c8c-9bb9-7bd7ea85a1ff
100,Los Angeles,Cudahy,4619389.23046875,12556.3541993487,9772afdb-d8c3-46e1-b0c9-3798b7e29fdc
101,Los Angeles,Culver City,19392272.7109375,43000.490746853,027a401f-7166-4f9c-989c-cb48ffc50245
102,Santa Clara,Cupertino,46432499.9726563,61921.0830346664,bbc4a4da-29f5-47fc-ad55-2f0ef9594276
103,Orange,Cypress,24931636.0039063,30858.9018578347,7f27c17f-a060-4721-b163-85317dcf71eb
