"Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"022913131","distribution warehouse","2014","47","1344402"
"025217367","transit warehouse (truck terminal)","2001","47","1339122"
"302120024","warehouse/mega","2020","47","1326841"
"012815142","distribution warehouse","1998","47","1325548"
"417020076","warehouse/dry storage","2005","46","1314582"
"294070025","ct-warehouse/dry storage","2013","45","1275281"
"424050020","warehouse/mega","2019","45","1262038"
"263020066","warehouse/dry storage","1910","45","1260533"
"263310015","ct-warehouse/dry storage","1994","44","1257809"
"160510007","warehouse/dry storage","1910","44","1253599"
"156360017","light industrial","1995","44","1246547"
"012815138","distribution warehouse","1990","44","1235125"
"294110011","light industrial","2018","44","1231962"
"156020052","warehouse/dry storage","2000","43","1217375"
"025507155","flex","2017","43","1216623"
"302030012","warehouse/dry storage","2017","43","1211487"
"024025148","flex","2017","43","1209314"
"026013133","distribution warehouse","2007","43","1207421"
"023815213","cold storage facility","1991","43","1205578"
"045919402","distribution warehouse","2008","43","1204860"
"305020031","light industrial","2000","42","1196928"
"314160032","light industrial","2018","42","1190492"
"027613181","distribution warehouse","2001","42","1189770"
"156340042","warehouse/dry storage","1998","42","1189381"
"727092026","ct-warehouse/cold storage","2005","42","1188283"
"011031151","distribution warehouse","2016","42","1185030"
"309119123","storage warehouse","1988","42","1182947"
"648150029","light industrial","1986","42","1180128"
"021007246","distribution warehouse","2004","41","1147686"
"111804105","distribution warehouse","2015","41","1146780"
"309119113","distribution warehouse","2000","40","1132405"
"8541-017-049","Warehousing, Distribution, Storage","2017","40","1123991"
"023813226","light industrial","1985","40","1123577"
"763320040","ct-warehouse/cold storage","1998","40","1121558"
"026204240","distribution warehouse","2015","40","1120261"
"013637139","distribution warehouse","2013","39","1114644"
"022937114","distribution warehouse","2005","39","1112017"
"8719-007-043","Warehousing, Distribution, Storage","2005","39","1107262"
"532130008","light industrial","2022","39","1107057"
"424050018","warehouse/dry storage","1910","39","1106064"
"022938105","flex","2002","39","1103448"
"666120012","warehouse/dry storage","1998","39","1102445"
"046031232","light industrial","1988","39","1101442"
"105632104","distribution warehouse","2014","39","1092013"
"488330044","warehouse/mega","2018","39","1091109"
"230260008","light industrial","1980","38","1087074"
"2836-006-040","Warehousing, Distribution, Storage","1955","38","1086445"
"022937120","distribution warehouse","2002","38","1081452"
"057327109","storage warehouse","1997","38","1070046"
"108315105","distribution warehouse","1999","38","1068054"
"026604182","distribution warehouse","2017","38","1066132"
"3033-010-047","Warehousing, Distribution, Storage","2000","38","1061938"
"330070015","light industrial","1986","37","1059405"
"314180030","warehouse/mega","2019","37","1059086"
"025508156","distribution warehouse","2019","37","1053836"
"042627127","storage building","2006","37","1053650"
"303080019","warehouse/dry storage","2016","37","1053523"
"029204417","distribution warehouse","2015","37","1053141"
"156050022","warehouse/dry storage","2002","37","1053098"
"111924124","distribution warehouse","2016","37","1052005"
"105437105","distribution warehouse","2017","37","1047720"
"016755108","distribution warehouse","2001","37","1044341"
"5593-020-025","Warehousing, Distribution, Storage","1975","37","1038320"
"026007218","transit warehouse (truck terminal)","2019","36","1029542"
"316170027","warehouse/dry storage","2014","36","1028238"
"024023138","distribution warehouse","2016","36","1026828"
"023803131","flex","2004","36","1021042"
"029207157","distribution warehouse","2013","36","1020203"
"670040007","light industrial","1910","36","1018058"
